SimulationID,Condition,BossWin,TotalDmgDealt,TotalDmgReceived,Turns,ItemsUsed,HealsUsed,RevivesUsed
team3WithRofVegeta_metrics_86,Baseline3,1,43948777.0,549802.0,10,2,1,0
team3WithRofVegeta_metrics_87,Baseline3,0,22905488.0,441382.0,6,2,0,0
team3WithRofVegeta_metrics_88,Baseline3,0,19583889.0,436219.0,5,2,0,0
team3WithRofVegeta_metrics_89,Baseline3,0,24303455.0,482633.0,6,2,0,0
team3WithRofVegeta_metrics_9,Baseline3,1,45182112.0,235412.0,9,2,0,0
team3WithRofVegeta_metrics_90,Baseline3,0,25464165.0,455993.0,5,2,0,0
team3WithRofVegeta_metrics_91,Baseline3,0,23592735.0,595070.0,6,2,0,0
team3WithRofVegeta_metrics_92,Baseline3,0,28716406.0,441485.0,6,2,0,0
team3WithRofVegeta_metrics_93,Baseline3,0,21909840.0,437940.0,5,2,0,0
team3WithRofVegeta_metrics_94,Baseline3,0,16998776.0,449531.0,5,2,0,0
team3WithRofVegeta_metrics_95,Baseline3,0,21041168.0,437151.0,5,2,0,0
team3WithRofVegeta_metrics_96,Baseline3,0,31580808.0,507352.0,5,2,0,0
team3WithRofVegeta_metrics_97,Baseline3,0,33278495.0,793585.0,6,2,1,0
team3WithRofVegeta_metrics_98,Baseline3,0,42727557.0,774504.0,9,2,1,0
team3WithRofVegeta_metrics_99,Baseline3,1,43600155.0,322714.0,7,2,0,0
teamGvariableSlot_metrics,AGL_UI_no_adv,0,30287023.0,802156.0,7,2,1,0
teamGvariableSlot_metrics_10,AGL_UI_no_adv,1,43772022.0,621013.0,9,2,1,0
teamGvariableSlot_metrics_100,AGL_UI_no_adv,1,44601914.0,668594.0,9,2,1,0
teamGvariableSlot_metrics_11,AGL_UI_no_adv,1,44049777.0,833741.0,8,2,1,0
teamGvariableSlot_metrics_12,AGL_UI_no_adv,1,44577540.0,421151.0,8,2,1,0
teamGvariableSlot_metrics_13,AGL_UI_no_adv,0,36289835.0,470183.0,6,2,0,0
